,0,1,2,3
0,a,a,1202573,4
1,a,b,291787,12
2,a,d,812920,6
3,a,e,120240,17
4,a,f,40242,20
5,a,g,189013,15
6,a,h,98674,18
7,a,i,276405,13
8,a,j,322711,11
9,a,k,497968,9
10,a,l,1791576,1
11,a,m,637913,8
12,a,n,1307954,3
13,a,o,41078,19
14,a,p,182000,16
15,a,r,765026,7
16,a,s,1491930,2
17,a,t,1043054,5
18,a,u,236850,14
19,a,v,410644,10
20,a,z,10943,21
21,a,ä,440,26
22,a,õ,8240,23
23,a,ö,245,27
24,a,ü,9894,22
25,a,š,2924,25
26,a,ž,3702,24
27,b,a,309536,1
28,b,b,8633,12
29,b,d,1642,19
30,b,e,304660,2
31,b,f,467,24
32,b,g,529,22
33,b,h,2754,15
34,b,i,171402,4
35,b,j,9511,11
36,b,k,2310,17
37,b,l,53246,7
38,b,m,2201,18
39,b,n,13409,9
40,b,o,98728,6
41,b,p,734,21
42,b,r,184597,3
43,b,s,11472,10
44,b,t,2593,16
45,b,u,108659,5
46,b,v,514,23
47,b,z,335,25
48,b,ä,7096,13
49,b,õ,889,20
50,b,ö,4207,14
51,b,ü,15478,8
52,b,š,60,26
53,b,ž,18,27
54,d,a,783975,1
55,d,b,3138,21
56,d,d,10720,14
57,d,e,715714,2
58,d,f,3075,22
59,d,g,6307,19
60,d,h,5476,20
61,d,i,563455,3
62,d,j,12247,12
63,d,k,8033,16
64,d,l,34533,8
65,d,m,43860,7
66,d,n,17511,10
67,d,o,129580,6
68,d,p,2369,23
69,d,r,138252,5
70,d,s,26689,9
71,d,t,9986,15
72,d,u,380618,4
73,d,v,12310,11
74,d,z,6614,18
75,d,ä,406,26
76,d,õ,1182,24
77,d,ö,1035,25
78,d,ü,11586,13
79,d,š,33,27
80,d,ž,7823,17
81,e,a,123282,15
82,e,b,129027,14
83,e,d,592945,7
84,e,e,894175,4
85,e,f,25589,20
86,e,g,269972,12
87,e,h,160833,13
88,e,i,376149,10
89,e,j,69008,18
90,e,k,469621,9
91,e,l,1298624,2
92,e,m,534847,8
93,e,n,927567,3
