0,1,2
_,a,2
_,b,7
_,c,1
_,d,5
_,e,3
_,f,3
_,g,5
_,h,11
_,i,7
_,j,3
_,k,3
_,l,3
_,m,4
_,n,2
_,o,14
_,p,9
_,r,2
_,s,12
_,t,8
_,v,5
_,w,1
_,x,1
_,z,1
a,_,56
a,a,144163
a,b,36329
a,c,6244
a,d,101528
a,e,17685
a,f,4832
a,g,25165
a,h,13205
a,i,36635
a,j,39673
a,k,63616
a,l,218537
a,m,80429
a,n,182208
a,o,5576
a,p,26266
a,q,514
a,r,105947
a,s,193626
a,t,125705
a,u,31559
a,v,54126
a,w,977
a,x,525
a,y,2128
a,z,1575
a,²,1
a,³,1
a,¹,2
a,ß,7
a,á,1
a,ä,62
a,ç,30
a,é,5
a,ê,1
a,ë,31
a,í,32
a,î,8
a,ï,25
a,ð,5
a,ñ,47
a,ô,1
a,õ,827
a,ö,27
a,ù,2
a,ú,20
a,ü,831
a,ć,3
a,č,31
a,đ,1
a,ĝ,1
a,ğ,17
a,ģ,2
a,ī,2
a,ļ,3
a,ł,96
a,ń,178
a,ņ,10
a,ň,1
a,œ,1
a,ř,6
a,ś,21
a,ş,51
a,š,607
a,ţ,40
a,ť,1
a,ŭ,32
a,ż,9
a,ž,367
a,ǔ,6
a,ș,5
a,ț,5
a,ɾ,2
a,ʻ,3
a,ˈ,2
a,ː,1
a,α,1
a,θ,1
a,λ,1
a,ς,1
a,к,1
a,л,1
a,м,1
a,п,1
a,т,1
a,у,1
a,ш,1
a,я,2
a,ḍ,1
a,ḑ,7
a,ḥ,3
a,ḩ,43
a,ṃ,1
a,ṅ,2
a,ṇ,6
a,ṣ,4
a,ṭ,4
a,ẓ,1
a,ẖ,4
a,ₓ,5
a,ﬀ,1
a,ﬁ,5
b,a,44963
b,b,1206
b,c,92
b,d,172
b,e,44146
b,f,33
b,g,66
b,h,501
b,i,21017
b,j,1303
b,k,388
b,l,6767
b,m,258
b,n,1422
b,o,13483
b,p,58
b,q,13
b,r,24494
b,s,1667
b,t,213
b,u,13750
b,v,45
b,w,95
b,x,4
b,y,1072
b,z,33
b,à,3
b,á,90
b,â,11
b,ã,1
b,ä,559
b,å,7
b,æ,12
b,è,8
b,é,209
b,ê,4
b,ë,8
b,ì,2
b,í,24
b,î,3
b,ò,7
b,ó,40
b,ô,4
b,õ,81
b,ö,572
b,ø,35
b,ù,2
b,ú,6
b,û,2
b,ü,1767
b,ý,1
b,ā,187
b,ă,18
b,ą,1
b,č,14
b,ē,29
b,ė,7
b,ę,8
b,ě,10
b,ī,44
b,ļ,1
b,ł,14
b,ō,6
b,ő,2
b,ř,11
b,š,3
b,ū,28
b,ů,1
b,ű,1
b,ų,1
b,ž,2
b,ǎ,3
b,ə,12
b,ʌ,1
b,ḩ,1
b,ả,3
b,ể,1
c,_,4
c,a,17460
c,b,47
c,c,1712
c,d,313
c,e,7618
c,f,112
c,g,92
c,h,25431
c,i,7990
