0,1,2
_,a,8
_,b,11
_,c,3
_,d,1
_,e,4
_,f,7
_,g,3
_,h,1
_,i,10
_,j,1
_,k,5
_,l,16
_,m,4
_,n,1
_,o,1
_,p,11
_,q,1
_,r,2
_,s,22
_,t,6
_,v,7
_,w,2
_,z,2
_,б,1
a,_,12
a,a,124332
a,b,28453
a,c,6135
a,d,89902
a,e,11919
a,f,3944
a,g,17976
a,h,10153
a,i,26186
a,j,33355
a,k,48510
a,l,174628
a,m,64068
a,n,129231
a,o,3946
a,p,17981
a,q,204
a,r,73796
a,s,145408
a,t,107906
a,u,25037
a,v,39339
a,w,796
a,x,347
a,y,1273
a,z,913
a,ß,52
a,á,1
a,ä,42
a,ç,18
a,è,1
a,é,11
a,ë,22
a,í,11
a,î,4
a,ï,18
a,ñ,12
a,õ,701
a,ö,31
a,ú,2
a,ü,1477
a,ÿ,3
a,č,24
a,ğ,5
a,ģ,1
a,ķ,1
a,ļ,5
a,ł,22
a,ń,39
a,ņ,9
a,ŋ,1
a,ŕ,1
a,ř,2
a,ś,8
a,ş,76
a,š,276
a,ţ,9
a,ŭ,7
a,ż,3
a,ž,310
a,ș,1
a,ț,1
a,ɪ,5
a,ɾ,1
a,ʊ,4
a,ː,3
a,ν,1
a,в,2
a,н,1
a,р,5
a,с,1
a,х,1
a,э,1
a,я,1
a,ḑ,2
a,ḩ,32
a,ṅ,5
a,ṇ,15
a,ṣ,1
a,ṭ,1
a,ẖ,1
b,_,1
b,a,29476
b,b,929
b,c,101
b,d,107
b,e,29373
b,f,113
b,g,53
b,h,218
b,i,18233
b,j,789
b,k,186
b,l,5321
b,m,205
b,n,1311
b,o,9252
b,p,88
b,q,4
b,r,16699
b,s,1242
b,t,161
b,u,11247
b,v,82
b,w,35
b,x,67
b,y,970
b,z,30
b,à,1
b,á,49
b,â,6
b,ä,752
b,å,37
b,æ,1
b,è,3
b,é,150
b,ê,2
b,ì,2
b,í,22
b,ò,1
b,ó,11
b,ô,1
b,õ,117
b,ö,358
b,ø,40
b,ù,2
b,ú,2
b,ü,1635
b,ā,135
b,ă,15
b,č,4
b,ē,68
b,ė,1
b,ě,1
b,ī,10
b,ł,9
b,ō,2
b,ő,1
b,œ,7
b,ř,7
b,ū,7
b,ɔ,1
b,ə,8
b,ɪ,2
b,ʊ,1
b,ʐ,1
b,д,1
b,ы,1
