,p_letter,s_letter,l_count,l_rank
0,j,a,636033.0,1.0
1,j,b,23760.0,13.0
2,j,d,25101.0,12.0
3,j,e,123140.0,4.0
4,j,f,4339.0,19.0
5,j,g,4428.0,18.0
6,j,h,102368.0,8.0
7,j,i,105899.0,6.0
8,j,j,1547.0,22.0
9,j,k,11933.0,15.0
10,j,l,321265.0,2.0
11,j,m,8239.0,16.0
12,j,n,16117.0,14.0
13,j,o,89394.0,9.0
14,j,p,4109.0,20.0
15,j,r,284188.0,3.0
16,j,s,65033.0,10.0
17,j,š,616.0,26.0
18,j,z,866.0,24.0
19,j,ž,305.0,27.0
20,j,t,54847.0,11.0
21,j,u,103700.0,7.0
22,j,v,7886.0,17.0
23,j,õ,108740.0,5.0
24,j,ä,664.0,25.0
25,j,ö,2744.0,21.0
26,j,ü,1046.0,23.0
27,l,a,3474168.0,1.0
28,l,b,103050.0,17.0
29,l,d,106402.0,16.0
30,l,e,2610319.0,2.0
31,l,f,34144.0,18.0
32,l,g,136183.0,13.0
33,l,h,29423.0,19.0
34,l,i,1574670.0,4.0
35,l,j,682.0,26.0
36,l,k,222166.0,11.0
37,l,l,1181343.0,5.0
38,l,m,20586.0,23.0
39,l,n,29216.0,20.0
40,l,o,1613929.0,3.0
41,l,p,129474.0,14.0
42,l,r,121840.0,15.0
43,l,s,230794.0,10.0
44,l,š,1093.0,25.0
45,l,z,3183.0,24.0
46,l,ž,141.0,27.0
47,l,t,302059.0,8.0
48,l,u,1079997.0,6.0
49,l,v,26735.0,21.0
50,l,õ,147850.0,12.0
51,l,ä,281249.0,9.0
52,l,ö,23467.0,22.0
53,l,ü,387190.0,7.0
54,t,a,2278223.0,2.0
55,t,b,4249.0,25.0
56,t,d,38133.0,18.0
57,t,e,1425759.0,4.0
58,t,f,20847.0,19.0
59,t,g,13418.0,21.0
60,t,h,458182.0,9.0
61,t,i,1740770.0,3.0
62,t,j,6220.0,22.0
63,t,k,303052.0,12.0
64,t,l,696381.0,6.0
65,t,m,16243.0,20.0
